iter	Passed	Remaining
0	1	191
1	3	155
2	4	142
3	5	129
4	6	131
5	8	131
6	9	128
7	11	131
8	13	132
9	14	129
10	15	127
11	16	124
12	18	124
13	19	122
14	21	119
15	22	118
16	23	116
17	25	118
18	27	117
19	28	114
20	30	112
21	31	110
22	32	108
23	33	106
24	34	104
25	36	103
26	37	101
27	38	99
28	40	98
29	41	97
30	42	95
31	44	94
32	45	92
33	47	91
34	48	90
35	50	89
36	51	87
37	52	86
38	54	84
39	55	83
40	56	81
41	57	79
42	58	77
43	60	76
44	61	75
45	63	74
46	64	72
47	65	71
48	66	69
49	67	67
50	68	66
51	70	64
52	71	63
53	73	62
54	74	60
55	75	59
56	77	58
57	78	56
58	79	55
59	81	54
60	82	52
61	83	51
62	85	50
63	86	48
64	88	47
65	89	46
66	91	44
67	92	43
68	93	42
69	95	40
70	96	39
71	98	38
72	99	36
73	101	35
74	102	34
75	104	32
76	105	31
77	106	30
78	108	28
79	109	27
80	110	25
81	112	24
82	113	23
83	114	21
84	116	20
85	118	19
86	119	17
87	121	16
88	122	15
89	123	13
90	124	12
91	125	10
92	126	9
93	127	8
94	128	6
95	129	5
96	130	4
97	131	2
98	132	1
99	133	0
