iter	Passed	Remaining
0	147	147715
1	148	74316
2	149	49793
3	150	37487
4	151	30105
5	152	25195
6	152	21678
7	153	19051
8	154	17004
9	155	15372
10	156	14046
11	157	12932
12	157	11980
13	158	11165
14	159	10456
15	160	9840
16	160	9302
17	162	8842
18	162	8406
19	163	8007
20	164	7654
21	164	7332
22	165	7039
23	166	6771
24	167	6525
25	168	6301
26	169	6094
27	169	5897
28	170	5713
29	171	5543
30	172	5382
31	172	5232
32	173	5090
33	174	4958
34	175	4839
35	176	4721
36	177	4608
37	177	4503
38	178	4404
39	179	4308
40	180	4219
41	181	4137
42	182	4055
43	183	3980
44	184	3909
45	185	3850
46	186	3779
47	187	3710
48	188	3657
49	189	3609
50	190	3552
51	191	3495
52	192	3440
53	193	3386
54	194	3334
55	194	3285
56	195	3237
57	196	3199
58	197	3156
59	198	3115
60	199	3075
61	200	3034
62	201	2995
63	202	2956
64	202	2918
65	204	2890
66	205	2857
67	205	2822
68	206	2789
69	207	2756
70	208	2723
71	208	2692
72	209	2662
73	210	2633
74	211	2604
75	211	2577
76	212	2549
77	213	2526
78	214	2502
79	215	2479
80	216	2456
81	217	2432
82	217	2404
83	218	2380
84	219	2359
85	219	2337
86	221	2321
87	221	2299
88	222	2279
89	223	2259
90	224	2239
91	224	2219
92	225	2201
93	226	2183
94	227	2165
95	228	2149
96	229	2132
97	229	2114
98	230	2099
99	232	2090
100	233	2074
101	233	2058
102	234	2043
103	235	2027
104	236	2013
105	237	1999
106	237	1984
107	238	1970
108	239	1956
109	240	1942
110	240	1929
111	241	1915
112	242	1903
113	243	1892
114	244	1880
115	245	1868
116	245	1854
117	246	1843
118	247	1832
119	248	1821
120	249	1810
121	250	1799
122	250	1789
123	251	1778
124	252	1767
125	253	1757
126	254	1747
127	255	1738
128	255	1728
129	256	1718
130	257	1711
131	258	1702
132	259	1694
133	260	1685
134	261	1677
135	262	1668
136	263	1659
137	264	1649
138	264	1640
139	265	1631
140	266	1622
141	266	1612
142	267	1605
143	268	1596
144	269	1587
145	270	1579
146	270	1571
147	271	1563
148	272	1556
149	273	1549
150	274	1541
151	275	1535
152	276	1527
153	276	1521
154	277	1514
155	278	1507
156	279	1500
157	280	1493
158	281	1487
159	282	1480
160	282	1473
161	283	1466
162	284	1460
163	285	1455
164	287	1457
165	289	1453
166	290	1449
167	291	1443
168	292	1437
169	293	1431
170	294	1426
171	295	1420
172	295	1414
173	296	1408
174	297	1401
175	298	1395
176	298	1389
177	299	1382
178	300	1377
179	301	1372
180	302	1370
181	303	1364
182	304	1359
183	305	1355
184	306	1350
185	307	1344
186	308	1339
187	308	1334
188	309	1328
189	310	1323
190	311	1318
191	312	1313
192	312	1308
193	313	1304
194	314	1299
195	315	1295
196	316	1291
197	317	1287
198	318	1282
199	319	1278
200	320	1275
201	321	1271
202	322	1266
203	323	1262
204	324	1257
205	325	1253
206	326	1249
207	326	1244
208	327	1239
209	328	1235
210	329	1230
211	329	1226
212	330	1221
213	331	1217
214	332	1213
215	333	1209
216	333	1205
217	334	1200
218	335	1196
219	336	1192
220	337	1188
221	337	1184
222	338	1180
223	339	1176
224	340	1172
225	341	1168
226	342	1165
227	342	1161
228	343	1157
229	344	1154
230	345	1150
231	346	1146
232	347	1142
233	347	1138
234	348	1135
235	349	1131
236	350	1127
237	350	1123
238	351	1119
239	352	1116
240	353	1112
241	354	1109
242	354	1105
243	355	1102
244	356	1098
245	357	1095
246	358	1092
247	359	1088
248	359	1085
249	360	1081
250	361	1078
251	362	1075
252	363	1072
253	364	1069
254	365	1068
255	366	1065
256	367	1061
257	368	1059
258	369	1058
259	371	1057
260	373	1058
261	374	1056
262	376	1053
263	376	1050
264	377	1047
265	378	1045
266	379	1042
267	380	1039
268	381	1036
269	382	1033
270	384	1033
271	385	1031
272	386	1028
273	387	1025
274	387	1022
275	388	1019
276	389	1016
277	390	1013
278	391	1011
279	392	1008
280	393	1005
281	393	1003
282	394	1000
283	395	997
284	396	994
285	397	992
286	398	989
287	399	986
288	400	984
289	400	981
290	401	978
291	402	976
292	403	973
293	404	972
294	406	970
295	407	969
296	408	967
297	409	964
298	410	962
299	411	960
300	412	957
301	413	954
302	414	952
303	414	949
304	415	946
305	416	944
306	417	941
307	418	939
308	419	937
309	420	936
310	421	934
311	422	932
312	424	930
313	425	928
314	425	926
315	426	923
316	427	921
317	428	919
318	429	916
319	430	914
320	431	912
321	432	910
322	433	907
323	433	905
324	435	903
325	436	901
326	437	899
327	437	897
328	438	895
329	439	892
330	440	891
331	442	889
332	442	887
333	443	885
334	444	882
335	445	880
336	446	878
337	447	875
338	447	873
339	448	871
340	449	869
341	452	870
342	453	868
343	454	866
344	455	864
345	456	862
346	457	860
347	458	858
348	458	855
349	459	853
350	460	851
351	461	849
352	462	847
353	463	845
354	464	843
355	465	841
356	465	839
357	466	837
358	467	835
359	468	833
360	469	831
361	470	829
362	471	826
363	472	824
364	472	822
365	473	820
366	474	818
367	475	816
368	475	813
369	476	811
370	477	809
371	478	808
372	479	806
373	480	804
374	481	802
375	482	800
376	483	798
377	484	796
378	484	794
379	485	792
380	486	790
381	487	789
382	488	787
383	489	785
384	490	783
385	491	782
386	492	780
387	493	778
388	494	776
389	495	774
390	496	772
391	497	770
392	497	769
393	498	767
394	499	765
395	500	763
396	501	761
397	502	760
398	503	758
399	504	756
400	505	754
401	506	753
402	507	751
403	508	750
404	509	748
405	510	746
406	511	745
407	512	743
408	513	741
409	514	739
410	515	738
411	515	736
412	516	734
413	517	732
414	520	733
415	521	731
416	522	731
417	523	729
418	524	727
419	525	726
420	526	724
421	527	722
422	528	720
423	529	719
424	530	717
425	530	715
426	531	713
427	532	711
428	533	709
429	534	708
430	534	706
431	535	704
432	536	702
433	537	700
434	538	699
435	539	697
436	539	695
437	540	693
438	541	691
439	542	690
440	543	688
441	543	686
442	544	684
443	545	683
444	546	681
445	547	679
446	548	678
447	548	676
448	549	674
449	550	672
450	551	671
451	552	669
452	553	667
453	554	666
454	555	665
455	556	663
456	557	662
457	558	660
458	559	660
459	560	658
460	561	656
461	562	655
462	563	653
463	564	652
464	565	650
465	566	649
466	567	647
467	568	646
468	569	645
469	570	643
470	571	641
471	572	640
472	572	638
473	573	636
474	574	635
475	575	633
476	576	632
477	577	630
478	578	629
479	579	627
480	580	626
481	581	625
482	582	623
483	583	622
484	584	620
485	585	619
486	586	617
487	586	615
488	587	614
489	588	612
490	590	611
491	591	610
492	592	608
493	592	607
494	593	605
495	594	604
496	595	603
497	597	601
498	598	600
499	598	598
500	599	597
501	600	596
502	601	594
503	602	593
504	603	591
505	604	589
506	605	588
507	605	586
508	606	585
509	607	583
510	608	581
511	608	580
512	609	578
513	610	577
514	611	575
515	611	573
516	612	572
517	613	571
518	614	569
519	615	568
520	616	566
521	617	565
522	618	563
523	618	562
524	619	560
525	620	559
526	621	557
527	622	556
528	622	554
529	623	552
530	624	551
531	625	549
532	625	548
533	626	546
534	628	545
535	629	544
536	629	543
537	630	541
538	631	540
539	632	538
540	633	537
541	633	535
542	634	534
543	635	532
544	636	531
545	637	529
546	638	528
547	638	526
548	639	525
549	640	524
550	641	522
551	642	521
552	643	520
553	644	518
554	645	517
555	645	515
556	646	514
557	647	512
558	648	511
559	649	510
560	650	508
561	651	507
562	651	506
563	652	504
564	653	503
565	654	502
566	655	500
567	656	499
568	657	497
569	658	496
570	658	494
571	659	493
572	660	492
573	661	490
574	661	489
575	662	487
576	663	486
577	664	485
578	665	483
579	666	482
580	667	481
581	668	480
582	669	478
583	670	477
584	671	476
585	672	475
586	673	474
587	674	472
588	675	471
589	676	469
590	676	468
591	677	466
592	678	465
593	678	464
594	679	462
595	680	461
596	681	459
597	681	458
598	682	457
599	683	455
600	684	454
601	686	453
602	687	452
603	687	450
604	688	449
605	689	448
606	690	446
607	690	445
608	691	444
609	693	443
610	694	442
611	695	440
612	696	439
613	697	438
614	698	436
615	698	435
616	699	434
617	701	433
618	701	432
619	702	430
620	703	429
621	704	428
622	705	426
623	705	425
624	706	424
625	707	422
626	708	421
627	709	420
628	710	418
629	711	417
630	712	416
631	712	415
632	713	413
633	715	412
634	716	411
635	717	410
636	718	409
637	719	408
638	719	406
639	720	405
640	721	404
641	722	402
642	723	401
643	724	400
644	724	398
645	725	397
646	726	396
647	727	395
648	728	393
649	729	392
650	729	391
651	730	389
652	731	388
653	732	387
654	733	386
655	734	385
656	735	383
657	736	382
658	737	381
659	738	380
660	739	379
661	740	377
662	741	376
663	742	375
664	743	374
665	744	373
666	745	372
667	746	370
668	746	369
669	748	368
670	749	367
671	750	366
672	750	364
673	751	363
674	752	362
675	753	360
676	753	359
677	754	358
678	755	357
679	756	355
680	757	354
681	758	353
682	758	352
683	759	350
684	760	349
685	761	348
686	761	347
687	762	345
688	763	344
689	764	343
690	765	342
691	765	340
692	766	339
693	767	338
694	768	337
695	768	335
696	769	334
697	770	333
698	771	332
699	772	331
700	773	329
701	774	328
702	775	327
703	776	326
704	777	325
705	777	323
706	778	322
707	779	321
708	780	320
709	781	319
710	781	317
711	782	316
712	783	315
713	784	314
714	784	312
715	785	311
716	786	310
717	787	309
718	788	308
719	789	306
720	789	305
721	790	304
722	791	303
723	791	301
724	792	300
725	793	299
726	794	298
727	794	297
728	795	295
729	796	294
730	797	293
731	797	292
732	798	290
733	799	289
734	800	288
735	800	287
736	801	286
737	802	284
738	803	283
739	804	282
740	804	281
741	805	280
742	806	278
743	806	277
744	807	276
745	808	275
746	809	274
747	809	272
748	810	271
749	811	270
750	811	269
751	812	268
752	813	266
753	814	265
754	815	264
755	815	263
756	816	262
757	817	260
758	818	259
759	821	259
760	822	258
761	823	257
762	823	255
763	824	254
764	825	253
765	826	252
766	826	251
767	827	249
768	828	249
769	829	247
770	830	246
771	831	245
772	832	244
773	833	243
774	833	242
775	834	240
776	835	239
777	836	238
778	837	237
779	837	236
780	838	235
781	839	234
782	840	232
783	841	231
784	841	230
785	842	229
786	843	228
787	844	227
788	845	225
789	845	224
790	846	223
791	847	222
792	848	221
793	849	220
794	849	219
795	850	218
796	851	216
797	852	215
798	852	214
799	853	213
800	854	212
801	855	211
802	856	210
803	857	209
804	858	207
805	859	206
806	860	205
807	860	204
808	861	203
809	862	202
810	864	201
811	864	200
812	865	199
